,last_review,number_of_reviews,price
0,2011-03-31,1.0,55.0
1,2011-04-30,14.0,250.0
2,2011-05-31,2.0,249.0
3,2011-06-30,,
4,2011-07-31,,
5,2011-08-31,,
6,2011-09-30,5.0,115.0
7,2011-10-31,,
8,2011-11-30,,
9,2011-12-31,17.0,199.5
10,2012-01-31,1.0,162.5
11,2012-02-29,,
12,2012-03-31,,
13,2012-04-30,,
14,2012-05-31,2.0,65.0
15,2012-06-30,4.0,137.5
16,2012-07-31,1.0,107.5
17,2012-08-31,11.0,186.66666666666666
18,2012-09-30,6.142857142857143,240.71428571428572
19,2012-10-31,1.0,200.0
20,2012-11-30,24.0,71.66666666666667
21,2012-12-31,3.75,103.25
22,2013-01-31,1.6,173.4
23,2013-02-28,,
24,2013-03-31,6.5,211.5
25,2013-04-30,2.75,201.25
26,2013-05-31,7.0,157.0
27,2013-06-30,9.75,147.25
28,2013-07-31,3.6666666666666665,148.33333333333334
29,2013-08-31,1.0,87.5
30,2013-09-30,2.888888888888889,681.6666666666666
31,2013-10-31,8.0,247.5
32,2013-11-30,4.2,89.8
33,2013-12-31,9.25,119.5
34,2014-01-31,3.727272727272727,153.63636363636363
35,2014-02-28,12.5,47.5
36,2014-03-31,1.0,45.0
37,2014-04-30,8.0,117.8125
38,2014-05-31,6.0,180.76923076923077
39,2014-06-30,5.6875,199.75
40,2014-07-31,6.666666666666667,156.44444444444446
41,2014-08-31,2.5789473684210527,165.97368421052633
42,2014-09-30,2.7333333333333334,186.13333333333333
43,2014-10-31,5.8125,164.34375
44,2014-11-30,3.3333333333333335,130.53333333333333
45,2014-12-31,6.066666666666666,138.86666666666667
46,2015-01-31,3.3275862068965516,320.3448275862069
47,2015-02-28,5.125,519.5625
48,2015-03-31,2.9130434782608696,138.2608695652174
49,2015-04-30,2.185185185185185,146.62962962962962
50,2015-05-31,5.561643835616438,138.1917808219178
51,2015-06-30,3.411111111111111,143.9111111111111
52,2015-07-31,2.4205607476635516,121.79439252336448
53,2015-08-31,3.517412935323383,136.90049751243782
54,2015-09-30,3.86046511627907,136.90232558139536
55,2015-10-31,5.482142857142857,171.67410714285714
56,2015-11-30,4.986301369863014,134.44520547945206
57,2015-12-31,4.206572769953052,158.906103286385
58,2016-01-31,4.362068965517241,191.07471264367817
59,2016-02-29,4.986486486486487,246.54054054054055
60,2016-03-31,3.746153846153846,115.5
61,2016-04-30,4.891472868217054,121.15503875968992
62,2016-05-31,5.555084745762712,136.5084745762712
63,2016-06-30,5.198380566801619,121.32793522267207
64,2016-07-31,5.723333333333334,126.64666666666666
65,2016-08-31,4.956896551724138,133.95977011494253
66,2016-09-30,7.450549450549451,166.93040293040292
67,2016-10-31,7.765873015873016,156.9206349206349
68,2016-11-30,8.769662921348315,147.24157303370785
69,2016-12-31,8.270833333333334,194.72395833333334
70,2017-01-31,7.9915492957746475,147.9943661971831
71,2017-02-28,8.363636363636363,136.72727272727272
72,2017-03-31,9.326732673267326,129.63366336633663
73,2017-04-30,8.730061349693251,158.2085889570552
74,2017-05-31,9.68131868131868,126.07326007326007
75,2017-06-30,7.979757085020243,125.89473684210526
76,2017-07-31,9.796491228070176,155.51929824561404
77,2017-08-31,7.888888888888889,112.20413436692506
78,2017-09-30,7.956043956043956,133.49725274725276
79,2017-10-31,8.767295597484276,123.56603773584905
80,2017-11-30,8.394422310756973,134.58964143426294
81,2017-12-31,11.467005076142131,148.81218274111674
82,2018-01-31,10.31159420289855,134.7518115942029
83,2018-02-28,8.654929577464788,111.1830985915493
84,2018-03-31,10.588516746411484,156.31578947368422
85,2018-04-30,11.1629392971246,119.43769968051119
86,2018-05-31,9.728179551122194,130.0648379052369
87,2018-06-30,12.992146596858639,131.86387434554973
88,2018-07-31,10.689723320158103,127.77865612648222
89,2018-08-31,10.48546511627907,139.04941860465115
90,2018-09-30,13.105511811023622,145.26141732283463
91,2018-10-31,12.554621848739496,134.30112044817926
92,2018-11-30,13.76607142857143,139.60535714285714
93,2018-12-31,14.001057082452432,160.01162790697674
94,2019-01-31,14.409722222222221,140.55625
95,2019-02-28,15.351063829787234,145.6127659574468
96,2019-03-31,13.789024390243902,136.2439024390244
97,2019-04-30,17.052197802197803,143.21153846153845
98,2019-05-31,23.400541271989173,139.60189445196212
99,2019-06-30,49.187599237853284,141.66965703397904
100,2019-07-31,51.484021164021165,144.4878306878307
